number;name;address;position;banking;bonus;status;Contract Name;Bike Stands;Available Bike Stands;Available Bikes;Last Update
50008;50008 - CER08 - AXE MAJEUR (CB);RUE DE L'ESPLANADE DE PARIS ANGLE BOULEVARD DE L'OISE - 95000 CERGY;49.044092, 2.036546;False;False;CLOSED;cergy-pontoise;17;17;0;2025-06-10T09:41:55+02:00
1191;SALON RNTP;;47.8722324, 1.9144639;False;False;OPEN;jcdecauxbike;2;2;0;2025-11-06T15:09:10+01:00
215;215 - CUREGHEM / KUREGEM;Av. Raymond Vander Bruggen / Raymond Vander Bruggenlaan 2;50.836864, 4.317321;False;False;OPEN;Bruxelles-Capitale;25;25;0;2025-09-24T12:29:51+02:00
5;005 - BOURSE / BEURS;BOURSE / BEURS - RUE PAUL DEVAUX/PAUL DEVAUXSTRAAT;50.848893, 4.349396;False;False;CLOSED;Bruxelles-Capitale;44;0;0;2025-05-05T17:33:04+02:00
15;015_CALLE DR MARAÑON;CALLE DR MARAÑON - Aprox. C/ San Juan de Ribera;37.407217, -5.985365;False;False;OPEN;seville;15;15;0;2025-10-08T11:32:14+02:00
232;232_AVENIDA ALCALDE LUIS URUÑUELA;AVENIDA ALCALDE LUIS URUÑUELA - Aprox. Pza de la Acogida;37.4039395587675, -5.93973903343879;False;False;OPEN;seville;15;10;5;2025-08-21T10:48:45+02:00
6114;6114-JULIEN BARTHELEMY;JULIEN BARTHELEMY - 9 RUE 3 FRERES BARTHELEMY;43.292604598053984, 5.384138435260716;True;False;OPEN;marseille;10;0;0;2022-11-08T07:39:42+01:00
2000;2000 - TEST DSI PLAISIR;;46.5488766782771, 15.6350265324683;False;False;OPEN;maribor;1;0;0;2022-06-02T11:44:38+02:00
7027;7027-PLACE DU 4 SEPTEMBRE;2 RUE CAPITAINE DESSEMOND;43.2884327278463, 5.3586207351308;True;False;OPEN;marseille;14;0;0;2022-09-26T09:25:27+02:00
33;33 - AUBERGE;Rue de Brunstatt angle Rue de l'Illberg;47.738321115207405, 7.317404625830476;False;False;CLOSED;mulhouse;12;12;0;2025-03-27T08:53:36+01:00
8065;8065-PROMENADE POMPIDOU PALM BEACH;PROMENADE POMPIDOU PALM BEACH - 6 PROMENADE GEORGES POMPIDOU;43.267272515671856, 5.372088524255505;True;False;OPEN;marseille;15;15;0;2022-06-08T08:20:13+02:00
9087;9087-MAZARGUES;MAZARGUES - ROND POINT DE MAZARGUES (OBELISQUE);43.250903869637334, 5.403244616491982;True;False;OPEN;marseille;21;0;0;2022-10-17T07:21:14+02:00
300;TEST VAL;Test Valencia;40.440654, 6.196131;True;False;OPEN;valence;1;0;1;2023-08-17T09:40:23+02:00
1264;1264 - CANEBIÈRE DUGOMMIER;CANEBIERE DUGOMMIER - LA CANEBIERE ANGLE BOULEVARD DUGOMMIER;43.29789631329341, 5.381132215559973;True;False;OPEN;marseille;10;0;0;2022-09-12T07:48:28+02:00
8147;8147 - MICHELET HUVEAUNE;MICHELET HUVEAUNE - ANGLE BOULEVARD MICHELET ET RUE JACQUES PICON;43.26796549967643, 5.393967016838425;True;False;OPEN;marseille;15;0;0;2022-10-17T10:15:10+02:00
2031;2031 - SCHUMANN LECA;32 Avenue Robert Schuman;43.301965, 5.366478;True;False;OPEN;marseille;15;0;0;2022-09-13T07:54:22+02:00
1191;1191-CANEBIERE-ST FERREOL;CANEBIERE SAINT FERREOL - ANGLE CANEBIERE SAINT FERREOL;43.29620767061392, 5.37693066220596;True;False;OPEN;marseille;20;2;0;2022-10-03T08:04:01+02:00
8313;8313- PARC PASTRE;PARC PASTRE - ANGLE AVENUE DE MONTREDON ET AVENUE D'OUTRE MER;43.23984252335505, 5.366506599649465;True;False;OPEN;marseille;10;0;0;2022-12-05T09:54:58+01:00
8;08 - PORTE HAUTE;Rue Gutenberg angle rue l'Arsenal;47.7469931994958, 7.33206326834505;False;False;OPEN;mulhouse;15;0;0;2025-02-17T11:12:28+01:00
5058;5058 -SAKAKINI - SAINT PIERRE;SAKAKINI SAINT PIERRE - BOULEVARD SAKAKINI ANGLE RUE SAINT PIERRE;43.292800863545835, 5.401285286456447;True;False;OPEN;marseille;10;10;0;2022-09-13T12:11:24+02:00
9207;9207- TEISSEIRE - ROUBAUD;TEISSEIRE ROUBAUD - ANGLE RUE RAYMOND TEISSEIRE ET RUE MAGUY ROUBAUD;43.27252367086013, 5.399686062414487;True;False;OPEN;marseille;10;0;0;2022-12-06T11:35:12+01:00
600;600 - RUN IN LYON-SOLAIRE;LPA;45.78042, 4.90469;True;False;OPEN;lyon;0;6;0;2022-01-18T17:28:12+01:00
6154;6154-PIERRE PUGET BRETEUIL;PIERRE PUGET BRETEUIL - COURS PIERRE PUGET ANGLE RUE BRETEUIL;43.290329770206334, 5.375548341850035;True;False;OPEN;marseille;8;0;0;2022-09-26T07:59:34+02:00
9219;9219-PUGETTE - ANDRE;PUGETTE ANDRE - ANGLE AVENUE DU GENERAL ANDRE FACE AU 23 BOULEVARD DE LA PUGETTE;43.268405140653144, 5.400635371105712;True;False;OPEN;marseille;15;0;0;2022-12-06T13:54:18+01:00
1226;1226-PLAINE-ST PIERRE;PLAINE ST PIERRE - RUE SAINT PIERRE ANGLE PLACE JEAN JAURES;43.294184, 5.38605;True;True;OPEN;marseille;18;0;0;2022-09-20T13:37:10+02:00
1224;1224-PLAINE - BIBLIOTHEQUE;PLAINE BIBLIOTHEQUE - 45 RUE DE LA BIBLIOTHEQUE;43.29582518327951, 5.385996090720193;True;True;OPEN;marseille;16;0;0;2022-10-24T09:38:08+02:00
2279;02279 - DOCKS LES TERRASSES DU PORT;SOUS A55 AU BOUT DES DOCKS FACE AU 22 QUAI DU LAZARET 13002;43.308731, 5.36651;True;False;OPEN;marseille;22;18;4;2022-12-16T15:53:46+01:00
22;022-MOQUECHIEN;8, rue Moquechien - 17, allée des Tanneurs;47.220392126692, -1.55553104193626;False;False;OPEN;nantes;20;18;0;2022-07-08T08:59:34+02:00
6160;6160-153 PARADIS;153 PARADIS - 153 RUE PARADIS;43.28683835122117, 5.379450180172236;True;False;OPEN;marseille;14;0;0;2022-11-22T08:17:11+01:00
5104;5104-CHAVE EUGÈNE PIERRE;CHAVE EUGENE PIERRE - BOULEVARD CHAVE ANGLE BOULEVARD EUGENE PIERRE;43.295363145406, 5.390871390171412;True;True;CLOSED;marseille;10;9;0;2022-12-19T12:01:34+01:00
125;125_AVENIDA SAN FRANCISCO JAVIER;AVENIDA SAN FRANCISCO JAVIER - Aprox. Avda De Ramón y Cajal;37.3774064383128, -5.97490014181884;False;False;OPEN;seville;15;15;0;2022-03-16T17:41:12+01:00
4238;4238-LIBERATION-CHAPE-ESPERANDIEU;LIBERATION CHAPE ESPERANDIEU - BOULAVARD LIBERATION ANGLE RUE CHAPE;43.302008143688155, 5.394684906357751;True;False;OPEN;marseille;12;0;0;2022-10-24T10:28:26+02:00
6237;6237-LIEUTAUD JULIEN;LIEUTAUD JULIEN - FACE AU 20 BOULEVARD THEODORE THURNER;43.2921244873688, 5.38299269172725;True;False;CLOSED;marseille;10;10;0;2022-12-19T14:54:05+01:00
7215;7215-ENDOUME - CORDERIE;ENDOUME CORDERIE - 41 RUE D'ENDOUME;43.28923675488644, 5.366479730277853;True;False;OPEN;marseille;13;0;0;2022-10-17T08:57:26+02:00
8134;8134-ROND POINT DU PRADO;ROND POINT DU PRADO - 300 AVENUE DU PRADO;43.27278734452526, 5.391048744484495;True;False;OPEN;marseille;21;0;0;2022-11-29T09:49:52+01:00
2012;2012-GRAND RUE;GRAND RUE - FACE AU 35 GRAND'RUE;43.2978095560818, 5.37083509372786;True;False;CLOSED;marseille;20;20;0;2022-12-19T15:32:52+01:00
2323;2323 -FORBIN PARIS;FORBIN PARIS - RUE DE FORBIN ANGLE BOULEVARD DE PARIS;43.30598895681527, 5.37224035119238;True;False;OPEN;marseille;13;0;0;2022-09-12T08:28:26+02:00
2200;2200-MUCEM;Bd du Littoral, 100 m avant le Mucem, devant l’entrée du parking Vieux Port Fort St Jean, direction vieux port;43.2984594666424, 5.36291062831879;True;False;OPEN;marseille;26;0;0;2022-11-14T08:55:58+01:00
7349;7349 - LA CRIEE;28 Quai de Rive Neuve - angle rue Plan Fourmiguier;43.292601, 5.368569;True;False;CLOSED;marseille;12;12;0;2022-12-19T15:41:40+01:00
6208;6208-ROUET;ROUET - 48 RUE DU ROUET;43.28350144850817, 5.386461522334788;True;False;OPEN;marseille;15;13;0;2022-03-22T10:10:33+01:00
26;26 - SAINT-EXUPERY;Centre sportif Antoine-de-Saint-Exupéry - Rue des Petites Eaux du Robec;49.439524, 1.116237;True;False;OPEN;rouen;20;0;0;2023-03-21T15:44:27+01:00
4022;4022-SAKAKINI FOCH;SAKAKINI FOCH - BOULAVARD SAKAKINI ANGLE AVENUE MARECHAL FOCH;43.29952274790985, 5.401127142110414;True;False;CLOSED;marseille;15;15;0;2022-12-19T16:34:19+01:00
6020;6020-PLACE DE LA CORDERIE;PLACE CORDERIE - AU CENTRE DE LA PLACE CORDERIE;43.29076433240633, 5.372259932395231;True;False;OPEN;marseille;15;0;0;2022-11-08T09:14:27+01:00
8307;8307-PRADO MICHELET;Parvis entrée parc Chanot;43.2722414899425, 5.39166970262158;True;False;OPEN;marseille;20;0;0;2022-11-21T10:52:40+01:00
1345;1345 - SAINT CHARLES LECLERC ZATTARA;SAINT CHARLES LECLERC ZATTARA - AVENUE DU GENERAL LECLERC ANGLE RUE ANTOINE ZATTARA;43.30380276644441, 5.377690136115547;True;False;CLOSED;marseille;12;0;0;2022-12-20T08:57:00+01:00
8067;8067-PRADO GABES;PRADO GABES - AVENUE DU PRADO ANGLE BD DE GABES;43.2668438148239, 5.38279581908046;True;False;OPEN;marseille;15;0;0;2022-09-27T08:04:04+02:00
8290;8290- POINTE ROUGE - MONTREDON;POINTE ROUGE MONTREDON - ANGLE AVENUE ODESSA ET AVENUE MONTREDON;43.243802055963265, 5.370540756635374;True;False;OPEN;marseille;17;0;0;2022-11-22T09:37:40+01:00
2018;2018 - TEST PLAISIR;;49.609486, 6.124868;False;False;OPEN;luxembourg;1;0;1;2023-02-14T14:40:37+01:00
1003;1003-PLACE AUX HUILES;PLACE AUX HUILES - COURS ESTIENNE D'ORVES ANGLE RUE SAINT SAENS;43.29312239728256, 5.371867606488009;True;False;OPEN;marseille;10;1;0;2022-10-03T07:34:59+02:00
21;21 - SIMONE DE BEAUVOIR;RUE DE LESSARD ANGLE AVENUE DE GRAMMOND;49.427214017510224, 1.096418417222262;True;False;OPEN;rouen;16;14;0;2023-06-30T15:43:09+02:00
3;03- VIEUX MARCHE;PLACE DU VIEUX MARCHE;49.44340061638054, 1.089234065324399;True;False;OPEN;rouen;24;0;0;2023-05-09T09:34:52+02:00
1001;1001 - CANEBIERE REINE ELISABETH;CANEBIERE REINE ELISABETH - CANEBIERE ANGLE REINE ELISABETH;43.295686109850145, 5.375339514183368;True;False;OPEN;marseille;14;0;0;2022-11-14T08:18:00+01:00
1216;1216-SAINTE - LULLI;SAINTE LULLI - 17 RUE SAINTE;43.292666663006464, 5.375905974276691;True;False;CLOSED;marseille;15;15;0;2022-12-19T09:20:09+01:00
10079;10079 - ANATOLE FRANCE / BARBUSSE;Rue Anatole France/Angle av Barbusse;45.768127, 4.879096;False;False;OPEN;lyon;20;0;0;2023-05-10T09:36:31+02:00
7025;7025-LIVON PASTEUR;LIVON PASTEUR - BOULEVARD CHARLES LIVON ANGLE ESPLANADE DU PHARO;43.29198908246378, 5.357823161216201;True;False;OPEN;marseille;20;0;20;2022-09-28T13:22:17+02:00
17;017_RUCANDIAL;Rucandial;43.4548260614091, -3.86690066866145;True;False;CLOSED;santander;20;19;0;2024-01-17T11:53:06+01:00
11;11- CLEMENCEAU JOFFRE;COURS CLEMENCEAU;49.43464613956876, 1.087959490140167;True;False;CLOSED;rouen;20;20;0;2023-07-03T09:59:45+02:00
1006;1006-COURS JEAN BALLARD;COURS JEAN BALLARD - 5 COURS JEAN BALLARD;43.29336790915692, 5.374638177288532;True;False;OPEN;marseille;14;0;0;2022-10-04T07:36:04+02:00
8149;8149-391 MICHELET;391 MICHELET - 391 BOULEVARD MICHELET;43.25402727813068, 5.401873594694653;True;False;CLOSED;marseille;19;17;0;2022-12-19T12:31:25+01:00
10121;10121 - PARC DU CENTRE;ANGLE RUE BILLON / RUE F. DE PRESSENSE;45.771912, 4.87907;False;False;OPEN;lyon;16;0;0;2023-09-04T10:40:44+02:00
2030;2030-REPUBLIQUE DAMES;RPUBLIQUE DAMES - 68 BOULEVARD DES DAMES;43.30255028371949, 5.369497428189588;True;False;OPEN;marseille;5;0;0;2022-12-06T09:06:44+01:00
10;10 - MAGELLAN;RUE MAGELLAN;48.76895633113984, 2.456664667660431;True;False;OPEN;creteil;20;8;12;2024-05-20T07:42:54+02:00
11;011_PUERTO CHICO;Puerto Chico (Aprox.Paseo Pereda y San Martín);43.4621430815773, -3.79724144946775;True;False;CLOSED;santander;25;20;4;2024-01-17T07:30:45+01:00
4211;4211- DUPARC BLANCARDE;44 Boulevard Françoise DUPARC direction Conseil Général;43.302777, 5.400826;True;False;OPEN;marseille;16;0;0;2022-10-24T08:07:56+02:00
9;09 - REPUBLIQUE - QUAI CORNEILLE;RUE DE LA REPUBLIQUE;49.437489866065405, 1.096252291204278;True;False;CLOSED;rouen;20;1;0;2023-07-03T12:16:02+02:00
2;002_PLAZA DE LAS BRISAS;Plaza de las Brisas (Aprox. Jardines de Piquio);43.4744126704703, -3.78578134528458;True;False;CLOSED;santander;20;20;0;2024-01-17T10:09:18+01:00
7146;7146-LIVON VIEUX PORT;LIVON VIEUX PORT - 36 BOULEVARD CHARLES LIVON;43.29224532184672, 5.360224853219125;True;False;OPEN;marseille;15;0;0;2022-10-05T10:18:00+02:00
601;00601 - TEST DSI;;48.7998093181557, 1.94670385760583;False;False;OPEN;besancon;2;0;0;2024-12-05T15:18:19+01:00
10000;10000 - TESTDSI TOYAMA;;36.4217, 137.12457;False;False;OPEN;jcdecauxbike;2;0;1;2024-02-21T10:36:27+01:00
9259;9259-LANCIER-MARTHELINE;LANCIER MARTHELINE - ANGLE CHEMIN DU LANCIER ET AVENUE DE LA  MARTHELINE;43.24759828978683, 5.397126739923842;True;False;CLOSED;marseille;15;11;0;2022-12-19T12:20:52+01:00
1031;1031 - CYCLOBURO TOULOUSE;;43.6092342351654, 1.42652571179497;False;False;OPEN;jcdecauxbike;2;0;2;2023-08-05T08:16:36+02:00
504;富山事務所　TOYAMA WAREHOUSE 2;;36.704382, 137.212361;False;False;OPEN;toyama;2;0;0;2024-07-24T11:39:24+02:00
1130;1130- NATIONAL LONGCHAMP;NATIONAL LONGCHAMP - 1 BD NATIONAL ANGLE LONGCHAMP;43.30123319837804, 5.387773261785004;True;False;OPEN;marseille;15;1;0;2022-11-14T10:55:52+01:00
1006;1006 - TEST PLAISIR DSI;N°RBC / OT SAP / MUPI BORNE / Nbre de bornette / Nbre de PSC / CB;50.803358, 4.373483;False;False;OPEN;Bruxelles-Capitale;2;1;0;2025-03-11T09:29:16+01:00
223;223_CALLE GEMA;CALLE GEMA - Aprox. Avda de las Ciencias;37.40071027, -5.926541607;False;False;OPEN;seville;15;6;9;2024-08-28T04:37:08+02:00
8078;8078-VIEILLE CHAPELLE;VIEILLE CHAPELLE - 35 AVENUE DE LA POINTE ROUGE;43.24789994774334, 5.374447484757423;True;False;OPEN;marseille;20;16;0;2022-10-10T07:47:35+02:00
7;07- CHU - BOULEVARD GAMBETTA;RUE D' AMIENS;49.43885379551624, 1.107488426850231;True;False;CLOSED;rouen;20;0;0;2023-07-03T09:59:34+02:00
197;197_CALLE AGRICULTORES;CALLE AGRICULTORES - Aprox. C/ estrella Betelgeuse;37.4234386250651, -5.96640413851815;False;False;OPEN;seville;20;0;0;2024-09-03T07:42:46+02:00
6187;6187-DELPUECH CORINTHE;DELPUECH CORINTHE - 29 BOULEVARD DELPUECH;43.28292930261343, 5.39109605124139;True;False;CLOSED;marseille;15;15;0;2022-12-19T12:32:29+01:00
32;32- CAMPUS (CB);Rue Alfred Verner Allée Brenard Thierry-Mieg;47.7329045, 7.3155374;True;False;CLOSED;mulhouse;30;28;0;2025-03-27T08:18:03+01:00
238;238_CIUDAD DE CHIVA;CIUDAD DE CHIVA - Aprox. Pza del Árbol Rey;37.40841063, -5.920479548;False;False;OPEN;seville;15;0;0;2025-02-10T07:43:17+01:00
6100;6100-PAUL PEYTRAL;PAUL PEYTRAL - 35 BOULEVARD PAUL PEYTRAL;43.289985879061746, 5.379124641857261;True;False;CLOSED;marseille;9;3;5;2022-12-19T09:51:27+01:00
16;016_SEVERO OCHOA;Severo Ochoa;43.4528130549523, -3.87139068298249;True;False;OPEN;santander;20;20;0;2023-12-18T12:34:43+01:00
31;31 - KINEPOLIS (CB);Cinema Kinepolis Nouveau Bassin;47.76001, 7.351265;True;False;OPEN;mulhouse;15;14;0;2025-02-14T07:56:13+01:00
8131;8131-PROMENADE POMPIDOU DAVID;PROMENADE POMPIDOU DAVID -  PROMENADE GEORGES POMPIDOU AU NIVEAU DU ROND POINT DE DAVID;43.26178202177259, 5.374505152575336;True;False;OPEN;marseille;15;0;0;2022-10-17T09:33:01+02:00
7;007_FACULTAD DE DERECHO;Facultad de Derecho (Aprox. Facultad de Ciencias);43.4701661089386, -3.80649947753026;True;False;CLOSED;santander;30;30;0;2024-01-17T11:29:35+01:00
3;03 - PLACE DE LA CONCORDE;Place de la Concorde / Angle rue de l'Arsenal;47.746818, 7.335238;False;False;CLOSED;mulhouse;12;12;0;2025-04-03T08:15:49+02:00
8068;8068-PRADO BORELY;PRADO BORELY - 579 AVENUE DU PRADO;43.262455920908494, 5.375795816171145;True;False;CLOSED;marseille;9;6;0;2022-12-19T13:41:01+01:00
501;501 - BEE PLAISIR;;48.799648, 1.945439;False;False;OPEN;jcdecauxbike;1;1;0;2024-03-27T17:53:53+01:00
17;17 - PLACE DE LA REUNION (CB);Rue de la Lanterne contre Temple St ETIENNE;47.747038, 7.338923;True;False;CLOSED;mulhouse;28;22;0;2025-04-09T09:27:32+02:00
6217;6217-ROSTAND - PREFECTURE;ROSTAND PREFECTURE - 6 RUE EDMOND ROSTAND ANGLE RUE SYLVABELLE;43.2896832563691, 5.379650236474981;True;False;CLOSED;marseille;15;15;0;2022-12-19T10:44:10+01:00
199;199_MAR DE ALBORÁN;MAR DE ALBORÁN - Aprox. Corral de los Olmos;37.4178556017479, -5.96929614545535;False;False;OPEN;seville;20;0;0;2024-09-03T07:44:57+02:00
2;002_GRAN PLAZA;GRAN PLAZA - Aprox. Calle Marquez de Pickman;37.3815780453279, -5.96522396639778;False;False;OPEN;seville;18;0;0;2025-04-24T10:31:35+02:00
6348;6348 - ROME- SALVATOR-ITALIE;3 Boulevard Louis Salvator angle rue d'Italie;43.290978, 5.381342;True;False;OPEN;marseille;17;0;0;2022-11-02T09:14:10+01:00
20;20- BRANLY;Bd Maignan Larivière;49.89001551426808, 2.291227264216073;False;False;OPEN;amiens;20;10;0;2025-06-11T09:04:42+02:00
221;221_AVENIDA ALCALDE LUIS URUÑUELA;AVENIDA ALCALDE LUIS URUÑUELA - Aprox. Hotel Sevilla Congresos;37.4056085629786, -5.93052400216402;False;False;OPEN;seville;15;5;10;2025-05-27T07:36:41+02:00
1005;1005-CENTRE BOURSE;CENTRE BOURSE - RUE BIR HAKEIM ENTREE CENTRE BOURSE;43.297138004748, 5.377103061958931;True;False;CLOSED;marseille;15;0;0;2022-12-19T14:26:55+01:00
165;165_AVENIDA DE ANDALUCIA;AVENIDA DE ANDALUCIA - Aprox. Centro Comercial Los Arcos;37.387608, -5.960786;False;False;OPEN;seville;20;18;0;2025-01-28T07:02:28+01:00
50021;50021 - CER21 - DALLE PIÉTONNE GRAND CENTRE;BOULEVARD DE L'OISE / RUE DE LA GARE - 95000 CERGY;49.03632, 2.079568;False;False;OPEN;cergy-pontoise;20;18;1;2025-06-02T08:24:13+02:00
1213;1213-GRIGNAN - MARCELLE PAUL;GRIGNAN MARCELLE PAUL - RUE GRIGNAN ANGLE RUE DE LA PAIX MARCELLE PAUL;43.291357465205536, 5.373546945382951;True;False;CLOSED;marseille;10;10;0;2022-12-19T15:22:45+01:00
50011;50011 - CER11 - PLACE DE L'HOTEL DE VILLE (CB);RUE DES GÉMEAUX - 95000 CERGY;49.051599, 2.036105;False;False;OPEN;cergy-pontoise;22;21;0;2025-05-05T12:04:39+02:00
3;03- VOGEL;Bd du jardin des plantes;49.898124385191046, 2.295195128091815;False;False;OPEN;amiens;20;20;0;2025-06-10T09:28:48+02:00
6253;06253 - ROME SYLVABELLE;angle rue de rome rue sylvabelle;43.290022, 5.381324;True;False;OPEN;marseille;12;0;0;2022-11-28T08:36:35+01:00
50020;50020 - CONSEIL GÉNÉRAL;AVENUE DU PARC ANGLE BOULEVARD DE L'HAUTIL - 95000 CERGY;49.032107, 2.074345;False;False;OPEN;cergy-pontoise;18;13;1;2025-05-13T08:05:18+02:00
5;05- ST LEU;66 Rue St Leu;49.8990979, 2.3005394;False;False;OPEN;amiens;20;0;0;2025-06-10T10:17:01+02:00
7142;7142-CORNICHE RAPATRIES;CORNICHE RAPATRIES - CORNICHE J.F. KENNEDY FACE AU MEMORIAL DES RAPATRIES EN DIRECTION DU VIEUX PORT;43.270172262619184, 5.365239906973955;True;False;CLOSED;marseille;15;15;0;2022-12-19T14:49:04+01:00
56102;56102 - ERA02 - CHARLES DE GAULLE;AVENUE FERNAND CHATELAIN ANGLE RUE DE PIERRELAYE 95600 - ERAGNY;49.0230651147826, 2.11045996684615;False;False;CLOSED;cergy-pontoise;15;14;0;2025-06-11T14:43:51+02:00
50004;50004 - CER04 - LE BON TEMPS;AVENUE DU BON TEMPS ANGLE AVENUE DU HAZAY - 95000 CERGY;49.052785, 2.017956;False;False;CLOSED;cergy-pontoise;15;15;3;2025-06-11T00:53:48+02:00
1275;1275- JULIEN - 3 MAGES;JULIEN 3 MAGES - COURS JULIEN ANGLE RUE DES TROIS MAGES;43.29562159175117, 5.382390401095631;True;False;CLOSED;marseille;7;0;0;2022-12-20T09:08:59+01:00
6;06- CITADELLE MONTRESCU;Avenue du général du Gaulle;49.904325, 2.30082;False;False;OPEN;amiens;50;45;0;2025-05-27T13:17:48+02:00
53102;53102 - SOA02 - GARE SOA CENTRE;Av du Général Leclerc / rue du 8 mai 1945 - 95310 SAINT OUEN L'AUMONE;49.0462492033273, 2.1057103478728;False;False;CLOSED;cergy-pontoise;19;19;0;2025-06-11T14:05:21+02:00
7138;7138-CORNICHE  ENDOUME;CORNICHE ENDOUME - 126 CORNICHE J.F. KENNEDY;43.28250633472905, 5.350628425025786;True;False;OPEN;marseille;15;0;0;2022-11-28T09:44:46+01:00
27;27- CITÉ SCOLAIRE;bd saint quentin devant clinique vétérinaire;49.879239, 2.296116;False;False;OPEN;amiens;40;0;0;2025-06-18T02:51:50+02:00
54901;54901 - VAU01 - PLACE DU RDV (CB);Place du Rendez-Vous côté avenue Louis Lecoin - 95490 VAUREAL;49.0329335916808, 2.02031242929915;False;False;CLOSED;cergy-pontoise;15;14;0;2025-06-11T14:48:04+02:00
1343;1343 - FLAMMARION GROBET;FLAMMARION GROBET - BOULEVARD CAMILLE FLAMMARION ANGLE RUE LOUIS GROBET;43.3046818705083, 5.3901483781149;True;False;CLOSED;marseille;15;0;0;2022-12-19T16:32:54+01:00
50022;50022 - CER22 - GARE CERGY GRAND CENTRE (CB);BOULEVARD DE L'OISE / RUE DE LA GARE - 95000 CERGY;49.036655, 2.080189;True;False;OPEN;cergy-pontoise;20;20;0;2025-06-03T07:52:35+02:00
56106;56106 - ERA06 - CENTRE TECHNIQUE MUNICIPAL;Rue de l'Ambassadeur angle rue des Anglais - 95610 ERAGNY;49.0112158195145, 2.09846304107412;False;False;CLOSED;cergy-pontoise;12;17;1;2025-06-13T16:03:25+02:00
5280;5280-CHAVE CAMAS;CHAVE CAMAS - BOULEVARD CHAVE ANGLE RUE DU CAMAS;43.29581102315005, 5.396312199117862;True;False;CLOSED;marseille;13;13;0;2022-12-20T09:38:39+01:00
50001;50001 - CER01 - GARE LES HAUTS DE CERGY(CB);PLACE DES 3 GARES - 95000 CERGY;49.048246, 2.011238;False;False;CLOSED;cergy-pontoise;29;0;0;2025-06-10T08:41:08+02:00
4;04- PLACE AU FEURRE;Place au Feurre;49.89729029741273, 2.297864452413288;False;False;OPEN;amiens;20;15;5;2025-06-13T23:35:31+02:00
8066;8066-MENDES FRANCE HUVEAUNE;MENDES FRANCE HUVEAUNE - AVENUE PEIRRE MENDES FRANCE DEVANT L'ENTREE DU PARC BORELY;43.260217853801166, 5.37544360265886;True;False;OPEN;marseille;18;0;0;2022-12-05T10:55:27+01:00
50025;50025 - CER25 - ARENICE;ROUTE D14, DEVANT LE COMPLEXE SPORTIF ARENICE;49.050988, 2.057324;False;False;CLOSED;cergy-pontoise;20;19;0;2025-06-13T16:07:50+02:00
20;20-TRAKŲ;Pylimo g.;54.6791769, 25.27784234;False;False;OPEN;vilnius;1;1;0;2025-06-20T10:08:24+02:00
1299;1299- ST CHARLES VOLTAIRE LIBERTÉ;SAINT CHARLES VOLTAIRE LIBERTE - BOULEVARD VOLTAIRE ANGLE BOULEVARD DE LA LIBERTE;43.30236655745069, 5.383955032544848;True;False;CLOSED;marseille;17;0;0;2022-12-20T08:30:13+01:00
50007;50007 - CER07 -  PARC ST-CHRISTOPHE;AVENUE DE L'ENTREPRISE ANGLE ROND POINT DU CÈDRE - 95000 CERGY;49.042999, 2.029687;False;False;OPEN;cergy-pontoise;14;11;3;2025-06-07T02:27:19+02:00
14;14- GARE CINEMA;Passage Alphonse Fiquet;49.8902809262295, 2.30737558427215;False;False;OPEN;amiens;30;21;9;2025-06-26T15:36:56+02:00
507;ORIEL STREET TEST TERMINAL;JCDecaux Ireland, 52 Oriel Street Lower, Dublin 1;53.35463, -6.242615;False;False;OPEN;dublin;1;0;1;2023-05-04T10:50:58+02:00
2;02- LES HALLES;Rue J Natiere;49.896032388592566, 2.295043974872919;False;False;CLOSED;amiens;20;18;0;2025-06-30T21:25:42+02:00
19;19 - REPUBLIQUE;République Gambetta;49.8927200732602, 2.29707581964189;False;False;OPEN;amiens;20;19;0;2025-06-30T15:58:23+02:00
8246;8246-PARADIS - LORD DUVEEN;PARADIS LORD DUVEEN - 395 RUE PARADIS;43.275618147775035, 5.384455147739253;True;False;CLOSED;marseille;10;10;0;2022-12-20T09:26:53+01:00
50014;50014 - CER14 - AVENUE DU NORD;AVENUE DU NORD ANGLE ALLÉE DES ACACIAS - 95000 CERGY;49.043224, 2.060405;False;False;CLOSED;cergy-pontoise;20;20;0;2025-06-11T14:46:47+02:00
1;00001 - WOOSTOWER 2025;Borne évènementielle n°1;45.7246304232008, 4.82919481552145;False;False;OPEN;lyon;6;0;0;2025-07-15T09:41:26+02:00
2240;2240-DAMES - TERRAS;DAMES TERRAS - BOULEVARD DES DAMES ANGLE RUE DU TERRAS;43.301805741199246, 5.372302255725486;True;False;OPEN;marseille;9;0;0;2022-12-06T09:44:08+01:00
9;09- CATHEDRALE;Rue Flatters;49.89508211905397, 2.299395003901743;False;False;CLOSED;amiens;17;17;0;2025-06-30T20:50:10+02:00
53001;53001 - PON01 - RUE SERE-DEPOIN (CB);Place du General de Gaulle devant la Gare - 95300 PONTOISE;49.047619, 2.096823;False;False;CLOSED;cergy-pontoise;20;19;0;2025-06-11T12:58:42+02:00
4;04- MUSEE DES BEAUX ARTS;DEVANT N° 39 ALLEE EUGENE DELACROIX;49.44430797679112, 1.093579586130271;True;False;CLOSED;rouen;20;20;0;2023-07-03T11:29:59+02:00
