number;name;address;position;banking;bonus;status;Contract Name;Bike Stands;Available Bike Stands;Available Bikes;Last Update
150;150_CALLE SAN JUAN BOSCO;CALLE SAN JUAN BOSCO - Aprox. C/ Arroyo;37.3967485141362, -5.97863416607181;False;False;OPEN;seville;20;1;18;2026-03-07T12:57:36+01:00
8040;8040 - AMBROISE PARÉ;Face au 54 Boulevard Ambroise Paré;45.736289, 4.883667;False;False;OPEN;lyon;24;12;10;2026-03-07T12:57:33+01:00
132;132_CALLE PAEZ DE RIVERA;CALLE PAEZ DE RIVERA - Aprox. Paseo de la Palmera;37.3636193796288, -5.98478516852571;False;False;OPEN;seville;20;12;8;2026-03-07T12:59:25+01:00
21;021_JUAN_LLORENS_29;Juan Llorens - Literato Gabriel Miró;39.4723390971218, -0.390305142409828;False;False;OPEN;valence;16;13;2;2026-03-07T12:58:29+01:00
209;209_AVENIDA ALEMANIA;AVENIDA ALEMANIA - Aprox. Glorieta Chekia;37.3453173116431, -5.98265615036839;False;False;OPEN;seville;15;15;0;2026-03-07T12:57:51+01:00
12;012_CALLE_SALVA;Calle Salvá - Calle Poeta Querol (Antigua ubicación MINYANA);39.471935, -0.374101;False;False;OPEN;valence;20;0;19;2026-03-07T12:59:16+01:00
200;200 - VETERANS COLONIAUX / KOLONIALE VETERANEN;Square des Vétérans Coloniaux / Square der Koloniale Veteranen 8;50.844006, 4.313818;False;True;OPEN;Bruxelles-Capitale;25;14;8;2026-03-07T12:59:01+01:00
246;246 - GATTI DE GAMOND;GATTI DE GAMMOND - RUE DE STALLE PROLONGEE/STALLE STRAAT 160;50.796471, 4.328415;False;False;OPEN;Bruxelles-Capitale;20;9;10;2026-03-07T12:59:26+01:00
335;335 - THIRY;Bd de la Woluwe / Woluwelaan 100;50.854231, 4.444034;False;False;OPEN;Bruxelles-Capitale;20;15;4;2026-03-07T12:58:45+01:00
381;00381 - LIFFARD - RÈGUELONGUE;Liffard - Règuelongue;43.55978, 1.37828;False;False;OPEN;toulouse;13;9;4;2026-03-07T12:57:44+01:00
37;00037 - STE-LUCIE - ARCS ST-CYPRIEN;53 RUE SAINTE-LUCIE;43.593516, 1.430039;False;False;OPEN;toulouse;18;13;5;2026-03-07T12:59:15+01:00
24;024 - SAINT-AUBAIN;024 - SAINT-AUBAIN - RUE DU COLLEGE / PLACE SAINT-AUBIN;50.46387, 4.861142;False;False;OPEN;namur;15;8;7;2026-03-07T12:59:13+01:00
45;SAVSKO NASELJE 1-ŠMARTINSKA CESTA;Savska cesta 1;46.062475, 14.524321;False;False;OPEN;ljubljana;20;11;9;2026-03-07T12:58:55+01:00
337;337 - SHOPPING;SHOPPING - BD DE LA WOLUWE;50.843779, 4.437698;False;False;OPEN;Bruxelles-Capitale;20;10;9;2026-03-07T12:57:47+01:00
221;00221 - AV. DE REYNERIE - VAUQUELIN;FACE 85 RUE VAUQUELIN;43.576221, 1.406355;False;False;OPEN;toulouse;20;12;8;2026-03-07T12:59:01+01:00
211;211_CALLE_FRAY_JUNÍPERO_SERRA_ESQ_CALLE_VALL_D'UIX;Fray Junípero Serra - Vall d'Uixó;39.4586940486343, -0.397848157697943;False;False;OPEN;valence;15;9;6;2026-03-07T12:58:56+01:00
244;244 - BOIS DE LA CAMBRE / TERKAMERENBOS;Chaussée de Waterloo 781 / Waterloosesteenweg 781;50.81218, 4.368321;False;True;OPEN;Bruxelles-Capitale;20;9;9;2026-03-07T12:58:28+01:00
86;086 - MAISON COMMUNALE JETTE / GEMEENTEHUIS JETTE;Chau. de Wemmel / Wemmelsesteenweg 102;50.876195, 4.324477;False;False;OPEN;Bruxelles-Capitale;25;14;11;2026-03-07T12:57:56+01:00
219;219_CALLE_CASTAN_TOBEÑAS_ESQ_CALLE_VELAZQUEZ;Castán Tobeñas - Rincon de Ademuz;39.472625, -0.403121;False;False;OPEN;valence;18;12;6;2026-03-07T12:58:15+01:00
211;211_AVENIDA DE ALEMANIA;AVENIDA DE ALEMANIA - Aprox. Glorieta de Letonia;37.34645738, -5.976243873;False;False;OPEN;seville;15;13;2;2026-03-07T12:59:13+01:00
1;環水公園東 CANAL PARK　EAST;奥田新町８番 8 Okudashin-machi;36.705842, 137.215829;False;False;OPEN;toyama;16;9;7;2026-03-07T12:58:09+01:00
17;017-SAINTE ÉLISABETH;4, place Sainte Elisabeth;47.2192139526135, -1.56157014764171;False;False;OPEN;nantes;14;4;10;2026-03-07T12:58:13+01:00
101;101_PRADO DE SAN SEBASTIAN;PRADO DE SAN SEBASTIAN - Estación de autobuses;37.381404, -5.986737;False;False;OPEN;seville;40;20;20;2026-03-07T12:59:03+01:00
334;00334  - GLOIRE - ST-BERTRAND;1, rue Saint-Bertrand;43.605557, 1.458483;False;False;OPEN;toulouse;13;11;2;2026-03-07T12:58:48+01:00
